frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"79","Dec  2, 2022 15:57:52.746998000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"794.761747000","6.823622000",,,
"80","Dec  2, 2022 15:58:00.101923000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"802.116672000","7.354925000",,,
"81","Dec  2, 2022 15:58:14.383636000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"816.398385000","14.281713000",,,
"82","Dec  2, 2022 15:58:27.422092000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"829.436841000","13.038456000",,,
"83","Dec  2, 2022 15:58:41.634338000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"843.649087000","14.212246000",,,
"84","Dec  2, 2022 15:58:55.314207000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"857.328956000","13.679869000",,,
"85","Dec  2, 2022 15:59:08.886131000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"870.900880000","13.571924000",,,
"86","Dec  2, 2022 15:59:15.717007000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"877.731756000","6.830876000",,,
"87","Dec  2, 2022 15:59:23.127116000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"885.141865000","7.410109000",,,
"88","Dec  2, 2022 15:59:37.505777000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"899.520526000","14.378661000",,,
"89","Dec  2, 2022 15:59:51.726049000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"913.740798000","14.220272000",,,
"90","Dec  2, 2022 16:00:04.268348000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"926.283097000","12.542299000",,,
"91","Dec  2, 2022 16:00:17.507434000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"939.522183000","13.239086000",,,
"92","Dec  2, 2022 16:00:18.519664000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940.534413000","1.012230000",,,
"93","Dec  2, 2022 16:00:32.131370000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"954.146119000","13.611706000",,,
"94","Dec  2, 2022 16:00:38.804548000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"960.819297000","6.673178000",,,
"95","Dec  2, 2022 16:00:46.293088000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"968.307837000","7.488540000",,,
"96","Dec  2, 2022 16:01:00.504581000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"982.519330000","14.211493000",,,
"97","Dec  2, 2022 16:01:14.718730000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"996.733479000","14.214149000",,,
"98","Dec  2, 2022 16:01:28.444779000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1010.459528000","13.726049000",,,
"99","Dec  2, 2022 16:01:40.889285000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1022.904034000","12.444506000",,,
"100","Dec  2, 2022 16:01:55.084863000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1037.099612000","14.195578000",,,
"101","Dec  2, 2022 16:02:01.724631000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1043.739380000","6.639768000",,,
"102","Dec  2, 2022 16:02:09.277647000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1051.292396000","7.553016000",,,
